b1_s1, b1_s2, b2_s1, b2_s2, b3_s1, b3_s2, b4_s1, b4_s2, b5_s1, b5_s2, b6_s1, b6_s2
9.18, 3.23, 8.05, 4.80, 4.43, 9.38, 7.17, 5.67, 4.78, 7.56, 7.08, 5.45
9.60, 3.45, 8.55, 4.69, 5.82, 8.95, 8.07, 5.63, 5.86, 7.13, 7.67, 5.14
10.03, 3.83, 9.04, 4.60, 7.01, 8.60, 8.99, 5.64, 6.97, 6.87, 8.26, 4.87
10.50, 4.25, 9.51, 4.55, 8.06, 8.26, 9.78, 5.67, 8.01, 6.66, 8.79, 4.66
10.90, 4.63, 9.97, 4.46, 8.97, 7.87, 10.49, 5.65, 8.89, 6.48, 9.34, 4.42
11.31, 4.90, 10.41, 4.41, 9.76, 7.43, 11.09, 5.44, 9.70, 6.21, 9.87, 4.23
11.62, 5.05, 10.82, 4.32, 10.44, 6.87, 11.57, 5.09, 10.34, 5.83, 10.40, 4.05
11.89, 5.09, 11.22, 4.24, 11.03, 6.16, 12.02, 4.56, 10.91, 5.31, 10.86, 3.88
12.10, 5.01, 11.60, 4.13, 11.57, 5.34, 12.34, 3.83, 11.40, 4.60, 11.33, 3.72
12.25, 4.82, 11.96, 3.97, 12.09, 4.40, 12.72, 2.96, 11.86, 3.75, 11.79, 3.54
